"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"pcg_436621","TVA sur immobilisations 19%","436621","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_436622","TVA sur immobilisations 13%","436622","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_436623","TVA sur immobilisations 7%","436623","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_43663","TVA transférée par d'autres entreprises","43663","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_436660","TVA sur autres biens et services 29%","436660","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_436661","TVA sur autres biens et services 19%","436661","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_436662","TVA sur autres biens et services 7%","436663","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_43667","Crédit de TVA à reporter","43667","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_43668","Autres taxes sur le chiffre d'affaires","43668","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_4367110","TVA collectée sur les débits 29%","4367110","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367111","TVA collectée sur les débits 19%","4367111","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367112","TVA collectée sur les débits 13%","4367112","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367113","TVA collectée sur les débits 7%","4367113","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367120","TVA collectée sur les encaissements 29%","4367120","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367121","TVA collectée sur les encaissements 19%","4367121","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367122","TVA collectée sur les encaissements 13%","4367122","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_4367123","TVA collectée sur les encaissements 7%","4367123","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_43678","Autres taxes sur le chiffre d'affaires","43678","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4368","Taxes sur le chiffre d'affaires à régulariser ou en attente","4368","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_437","Autres impôts, taxes et versements assimilés","437","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4382","Charges fiscales sur congés à payer","4382","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4386","Autres charges à payer","4386","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4387","Produits à recevoir","4387","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_4411","Créances et intérêts courus","4411","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4412","Dettes et intérêts à payer","4412","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4421","Associés - comptes courants principal","4421","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4428","Associés - comptes courants intérêts courus","4428","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_446","Associés - Opérations sur le capital","446","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_447","Associés - Dividendes à payer","447","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4481","Associés - Opérations courantes faites en commun","4481","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4488","Associés - Intérêts courus faits en commun","4488","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_452","Créances sur cessions d'immobilisations","452","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_45311","CNSS","45311","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_45318","Organismes sociaux Autres","45318","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_45382","Charges sociales sur congés à payer","45382","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_45386","Autres charges à payer","45386","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_45387","Produits à recevoir","45387","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_454","Dettes sur acquisitions de valeurs mobilières de placement","454","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_455","Créances sur cessions de valeurs mobilières de placement","455","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_457","Autres comptes débiteurs ou créditeurs","457","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4586","Diverses Charges à payer","4586","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4587","Diverses Produits à recevoir","4587","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_461","Comptes d'attente","461","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4651","Différences de conversion actif","4651","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4652","Différences de conversion passif","4652","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_468","Autres comptes transitoires","468","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_472","Produits constatés d'avance","472","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4786","Comptes de répartition périodique de charges","4786","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4787","Comptes de répartition périodique de produits","4787","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_48","Provisions courantes pour risques et charges","48","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_491","Provisions pour dépréciation des comptes clients","491","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4941","Provisions pour dépréciation des Comptes du groupe","4941","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4942","Provisions pour dépréciation des Comptes courants des associés","4942","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4948","Provisions pour dépréciation des Opérations faites en commun","4948","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4952","Créances sur cessions d'immobilisations","4952","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4955","Créances sur cessions de valeurs mobilières de placement","4955","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4957","Autres comptes débiteurs","4957","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_501","Emprunts courants liés au cycle d'exploitation","501","account.data_account_type_liquidity","l10n_tn.tn_chart_template","False"
"pcg_505","Échéances à moins d'un an sur emprunts non courants","505","account.data_account_type_liquidity","l10n_tn.tn_chart_template","False"
